id,text,label,clean_label,subject,verb,object,subject_id,verb_id,object_id,negation,modifier_count,distractor_count,grammar_depth,is_heldout_composition,is_high_depth,audit_latent_score,audit_latent_margin,audit_semantic_seed,ps_alice,ps_bob,ps_chemist,ps_robot,ps_doctor,ps_student,ps_judge,ps_engineer,pv_trusts,pv_doubts,pv_examines,pv_rejects,pv_supports,pv_questions,pv_verifies,pv_challenges,po_proof,po_paper,po_model,po_dataset,po_claim,po_patient,po_contract,po_theorem,pn_not,pd_pos0_carefully,pd_pos0_quickly,pd_pos0_silently,pd_pos0_during_review,pd_pos0_after_revision,pd_pos0_with_context,pd_pos1_carefully,pd_pos1_quickly,pd_pos1_silently,pd_pos1_during_review,pd_pos1_after_revision,pd_pos1_with_context,pd_pos2_carefully,pd_pos2_quickly,pd_pos2_silently,pd_pos2_during_review,pd_pos2_after_revision,pd_pos2_with_context,pd_pos3_carefully,pd_pos3_quickly,pd_pos3_silently,pd_pos3_during_review,pd_pos3_after_revision,pd_pos3_with_context,split,ood_condition
latent_000000,alice quickly silently rejects theorem,1,1,alice,rejects,theorem,0,3,7,0,2,2,4,False,False,0.21381196330604657,0.22323982740426693,314159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val,id
latent_000001,chemist after_revision silently quickly silently trusts claim,0,0,chemist,trusts,claim,2,0,4,0,4,4,6,True,True,-0.22804835105235233,-0.21862048695413197,314159,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ood_composition,ood_composition
latent_000002,bob during_review not examines paper,1,1,bob,examines,paper,1,2,1,1,1,1,4,False,False,0.32942607656489653,0.33885394066311686,314159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val,id
latent_000003,student not supports contract,0,0,student,supports,contract,5,4,6,1,0,0,3,False,False,-0.30009291751145084,-0.2906650534132305,314159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,id
latent_000004,robot trusts model,1,1,robot,trusts,model,3,0,2,0,0,0,2,False,False,0.2659943569776785,0.2754222210758988,314159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,id
latent_000005,engineer not supports contract,0,0,engineer,supports,contract,7,4,6,1,0,0,3,False,False,-0.2637178749189659,-0.2542900108207456,314159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val,id
latent_000006,alice with_context not examines dataset,1,1,alice,examines,dataset,0,2,3,1,1,1,4,False,False,0.16513303792750694,0.1745609020257273,314159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,id
latent_000007,bob not rejects model,1,1,bob,rejects,model,1,3,2,1,0,0,3,True,False,0.5980834615040233,0.6075113256022436,314159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ood_composition,ood_composition
latent_000008,alice after_revision verifies theorem,0,0,alice,verifies,theorem,0,6,7,0,1,1,3,False,False,-0.1319223960750558,-0.12249453197683544,314159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val,id
latent_000009,bob not verifies paper,0,0,bob,verifies,paper,1,6,1,1,0,0,3,False,False,-0.11211089412583124,-0.1026830300276109,314159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,id
